feature,importance_mean,importance_std
sector,0.19722609873489721,0.06467828126510518
ownership_pct_numeric,0.051390324681481185,0.017624307703318774
partner_country_or_region,0.04716856697673802,0.04257881436039655
announcement_year,0.04643697169869724,0.07364545459919307
deal_value_reported_flag,0.03253269262761815,0.056884356414488906
date_precision,0.0058168050905900515,0.062144712377734536
partner_count,-0.004719724137042203,0.02652743662020552
ownership_equal_50_50_flag,-0.006442645280965048,0.010415418844275614
cross_border_binary,-0.009876952694802214,0.0050827097927892825
equity_JV_flag,-0.01097254598207628,0.019452025288903028
cross_border,-0.013811595025709592,0.01855286366530408
subsector,-0.014509987575025557,0.027314409384475494
deal_or_investment_value,-0.015370533207358508,0.03239037919675193
geography,-0.019664588336008496,0.04956512566369486
currency,-0.03410716507299794,0.04598255026660191
